Sample,Mg,Al ,Si ,Ca ,K ,Ti,Fe,P,S,Th ,U 
Buff Berea_1,0.001,2.530260766,34.5531507,0.259663104,0.791268675,0.222363216,0.844740303,0.04143695,0.256848184,5.34403048,11.10948491
Buff Berea_2,0.001,2.473599823,34.4030417,0.251703563,0.786175134,0.233296197,0.935245658,0.03208158,0.262019844,5.702483159,9.100555387
Buff Berea_3,0.001,2.116176876,34.33144542,0.233160779,0.5670154,0.148175082,0.055614691,0.032043215,0.271400378,4.959337852,3.583231839
Buff Berea_4,0.001,2.102056514,34.52095875,0.231573045,0.55519106,0.158369865,0.001,0.0355895,0.25821152,3.235978619,0.001
Buff Berea_5,0.001,2.054868734,34.30846641,0.288001004,0.712251803,0.271378278,0.734311208,0.027351508,0.217068052,5.313419177,11.96188174
Buff Berea_6,0.001,1.971308391,34.13965067,0.272913799,0.684719952,0.258670033,0.720046614,0.023418543,0.214589662,5.347435542,1.931609331
BRIARHILL_1,0.001,1.75235592,35.51625955,0.206684699,0.194708442,0.148711096,0.850221792,0.046492868,0.241717289,4.52108523,7.949241926
BRIARHILL_2,0.001,1.695215591,35.18963343,0.197902078,0.186775015,0.15131002,0.871134816,0.042184001,0.235419256,4.356281182,13.35878279
BRIARHILL_3,0.001,1.809483116,35.83321178,0.218636674,0.4772847,0.086094056,0.032173993,0.046480575,0.257612762,4.751681141,11.37123683
BRIARHILL_4,0.001,1.902852145,35.76810072,0.218804889,0.486640103,0.090412766,0.001,0.045678016,0.261007546,4.583604157,5.691024183
BRIARHILL_5,0.001,2.058531021,33.91572202,0.185899868,0.624374358,0.125573605,1.25207986,0.035560322,0.218378692,4.765026503,10.26075841
BRIARHILL_6,0.001,2.052878285,34.1256285,0.194118972,0.64211197,0.126280954,1.201132978,0.036216609,0.222597256,4.320006931,3.973287131
DESERT PINK_1,0.155801639,0.174931464,2.643277363,35.65214941,0.105408888,0.00920181,0.907366602,0.001,0.236259926,2.006637868,6.127272969
DESERT PINK_2,0.196244751,0.133902295,2.633839633,35.99297425,0.106090844,0.007023217,0.845324509,0.001,0.230526139,1.888437606,0.001
DESERT PINK_3,0.744297584,0.116242124,2.440699224,38.16135692,0.104672183,0.007646282,0.809144568,0.001,0.236862246,1.734597063,0.001
DESERT PINK_4,0.250755394,0.081740095,2.449473614,37.82822921,0.100967643,0.011580307,0.832836905,0.001,0.230658954,0.713690819,0.001
EAGLEFORD_1,0.586745636,1.415868477,11.1765737,25.84924939,0.180792735,0.063924528,0.981185552,0.115044471,1.633428859,2.681061308,18.3033362
EAGLEFORD_2,0.912633145,1.381776515,11.06662914,26.07929895,0.178042842,0.070198267,0.920534591,0.117334955,1.665897337,2.973420562,13.57575312
EAGLEFORD_3,0.912532089,1.938664993,11.3761795,23.06481119,0.202467139,0.077678297,1.225913335,0.108204064,2.140265605,2.441620065,9.207494859
EAGLEFORD_4,0.632143163,2.046158499,11.24174994,22.61675639,0.187962838,0.090105168,1.232867541,0.127286353,2.159677242,2.267921592,5.849205106
INDIANA_1,0.001,0.070306271,2.570430288,35.42014052,0.089397417,0.003208587,0.857806278,0.001,0.272701945,1.352766146,0.001
INDIANA_2,0.309698909,0.045425634,2.577356409,36.04969366,0.092388654,0.003936336,0.811587188,0.001,0.274426481,1.413165208,0.001
INDIANA_3,0.07182857,0.210065444,2.787430738,37.32561813,0.43890288,0.013278432,0.859492115,0.001,0.437690004,1.632524026,3.96665419
INDIANA_4,0.6015122,0.229371257,2.789718872,37.96051158,0.451469253,0.014738942,0.872648099,0.001,0.441790885,2.041384145,1.915622767
INDIANA_5,0.477603746,0.225583285,2.752892479,36.88112738,0.094339558,0.011363984,0.752437828,0.001,0.343447366,2.220149176,0.001
INDIANA_6,0.733752373,0.197053741,2.7722605,37.55339608,0.101053548,0.015042797,0.748405649,0.001,0.346186911,2.423400871,16.18369593
LAUDER_1,0.262845507,0.313923976,2.999632248,35.34256464,0.083243129,0.014689078,0.862031285,0.001,0.289351364,1.881174599,0.182065531
LAUDER_2,0.411639108,0.237338613,2.985801921,35.11956957,0.086309065,0.015430383,0.885559612,0.001,0.274118903,1.615260237,0.001
LAUDER_3,0.692405084,0.287562793,2.991364498,38.42464134,0.10326974,0.017937196,0.888659609,0.008287815,0.310781159,2.20810479,3.006587907
LAUDER_4,0.488362601,0.292251538,3.006115041,38.08190658,0.098248979,0.018493861,0.856611126,0.001,0.310989676,2.018246035,0.001
LAUDER_5,0.699630695,0.301630555,3.059143426,38.37363004,0.112488291,0.019809052,0.857279448,0.027868378,0.323515222,2.1862663,0.674492483
LAUDER_6,0.684109647,0.389459049,3.062616962,38.10767111,0.109683426,0.022850614,0.899074502,0.01166044,0.312683482,1.751014029,0.001
MARBLE_1,0.239229198,0.258542359,2.603369316,40.41743141,0.100867614,0.014674986,0.758588353,0.001,0.253305313,2.157249947,0.001
MARBLE_2,0.581999768,0.216520498,2.615043926,40.85099339,0.114608153,0.016910181,0.771552846,0.001,0.244678407,2.181308102,2.802624955
MARBLE_3,0.259853314,0.102921787,2.461466766,39.29208879,0.114240666,0.018650484,0.773850975,0.001,0.242645037,2.278697103,0.001
MARBLE_4,0.38109617,0.086995191,2.469545197,39.066337,0.095178932,0.016966772,0.76090687,0.001,0.249585504,1.620117068,0.785870668
SILURIAN_1,12.65377656,0.308710205,3.162205902,26.27718015,0.052742477,0.01480442,0.761997412,0.001,0.277733035,3.56662355,12.68063914
SILURIAN_2,13.00272526,0.307371264,3.148113406,26.16724098,0.046036094,0.017817923,0.731647896,0.001,0.27856869,3.138624708,7.464199699
SILURIAN_3,13.09804158,0.215467281,2.836753708,25.44656546,0.04037865,0.015225695,0.767220206,0.001,0.345202132,3.242799391,3.347104916
SILURIAN_4,12.28700976,0.248802204,2.828872639,25.38045107,0.028023644,0.010760365,0.791833235,0.001,0.345398205,3.402706616,4.959459305
SILURIAN_5,13.01869128,0.192116898,2.890025831,26.09841473,0.038217221,0.019882924,0.764573164,0.001,0.353360567,3.158367603,4.883737185
SILURIAN_6,13.38669798,0.203642098,2.853533129,26.03615081,0.035445722,0.01443514,0.775242405,0.001,0.352649666,2.978745045,0.001
1-3-7-001,1.46,4.68,16.34,12.18,0.97,0.43,3.17,0.10,0.52,4.81,4.97
1-3-7-002,1.25,4.82,16.16,12.09,0.96,0.42,3.14,0.10,0.54,4.30,0.00
1-3-7-003,1.37,4.74,16.26,12.03,0.95,0.43,3.14,0.10,0.52,4.21,0.00
1-7-13-001,1.91,6.01,24.11,1.57,1.53,0.53,5.16,0.03,0.62,6.82,5.55
1-7-13-002,1.73,5.95,23.75,1.54,1.51,0.54,5.16,0.03,0.61,6.42,0.00
1-7-13-003,1.62,5.95,23.77,1.52,1.51,0.54,5.27,0.03,0.60,6.30,0.00
1-17-46-001,1.52,5.07,25.69,3.37,1.35,0.51,3.86,0.05,0.78,6.20,0.76
1-17-46-002,1.74,5.26,25.70,3.40,1.36,0.52,4.04,0.05,0.78,6.40,6.41
1-17-46-003,1.81,5.31,25.85,3.44,1.38,0.52,3.93,0.06,0.78,6.18,4.87
2-3-7-001,0.74,5.09,28.27,1.43,1.44,0.47,3.90,0.04,0.64,6.08,0.00
2-3-7-002,0.63,5.18,28.36,1.43,1.43,0.47,3.89,0.04,0.66,5.90,3.87
2-3-7-003,0.98,5.28,28.28,1.43,1.44,0.48,3.94,0.03,0.64,6.02,7.34
2-5-13-001,0.47,5.26,25.79,1.46,1.58,0.45,3.83,0.02,0.35,7.05,13.27
2-5-13-002,0.55,5.18,25.75,1.42,1.55,0.43,3.84,0.02,0.34,6.84,2.51
2-5-13-003,0.28,5.26,25.70,1.43,1.57,0.43,3.82,0.02,0.34,6.81,4.83
2-16-38-001,1.18,4.36,29.66,1.27,1.78,0.42,4.61,0.07,0.76,6.58,7.02
2-16-38-002,0.69,4.31,29.33,1.25,1.71,0.42,4.57,0.07,0.73,6.96,15.18
2-16-38-003,0.78,4.40,29.46,1.27,1.74,0.41,4.54,0.08,0.73,6.54,6.04
2-16-40-001,1.74,4.94,25.50,1.78,2.21,0.48,7.11,0.11,0.80,9.08,8.90
2-16-40-002,1.50,4.90,25.34,1.77,2.20,0.49,7.02,0.11,0.78,8.67,1.34
2-16-40-003,1.53,4.97,25.22,1.74,2.17,0.49,6.99,0.10,0.78,8.13,2.96
